text,name
주말 연우 1도 없는거 무슨일이야......🤬 https://t.co/XOXfMbvmVs,바니바니🌞
RT @itgBQMqPuBsKXae: 걍 소양강에 뛰어내려라!!!!🤬🤬🤬🤬 https://t.co/tgP807YEAZ,This too shall pass away
"RT @onr228: 이재명 아들 잡아갔으면
#임요한 도 잡아갈거니?
지금 #대통령 이 
김앤장변호사들 30여명과,
#법무부장관 이랑 술 퍼마신 건 어쩌고🤬🤬
나 한게임하고,피망 고스톱 많이했는뎌 죄냐?
한 1억 넘게 있다!!! https://t.c…",히말라야
RT @petermams: 옆베드 보호자 pcr검사도 없이 들락거려서 한마디함. 미친거아냐. 신속항원 검사했다고 하는데 그거 가지고 안되는거 뻔히 알면서 그럼. 얼굴 붉히기 싫었는데 참을 수 없어 한마디하고 간호병동에 클레임. 지가 안된다고 하는데…,봄날의하늘
RT @garac85: 윤석열은 대통령 정말 편하게 한다. 전임 정부에서 나라살림을 최 우량국가로 만들어서 물려줬지? 모든 tv채널에서 느그 등신들 경제회의 한답시고 생방 풀로 내보내 주고 상대야당 대표는 지 맘대로 후려 팰수있는 중범죄자에 먼짓을…,등불
"RT @Mohaniiiiii: 침대 몇대 들인다했지?
그건 뺐남?
이런 기사가 더 분노유발 하는걸 모르나베...🤬 https://t.co/XwE56jRWkc",민경천
"@moolpang 장난하는것도 아니고 열불나게하네🤬
이색히들은 쑈질에도 성의가 없어",임마누엘
제발🤬🤬🤬🤬,서해
@bbakbbak4 싸울래여!!!!!!!!!!🤬🤬,요미~💗
하지말라면 하지마🤬,언
"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…",👹달달한 마음👹
윤석열은 대통령 정말 편하게 한다. 전임 정부에서 나라살림을 최 우량국가로 만들어서 물려줬지? 모든 tv채널에서 느그 등신들 경제회의 한답시고 생방 풀로 내보내 주고 상대야당 대표는 지 맘대로 후려 팰수있는… https://t.co/Fb8KPx0YRL,가락
"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ",cbrock
"J와 K열에서 벗어나고 싶다..
없는 날짜 표들...갖고싶다..
내 소망좀 들어줘라~~  아무나!!
그렇다고 플미티팅은 사양🤬",오래된먼지
@kkommi6 친일매국노 새퀴🤬,임마누엘
@yuju_meow 나쁜사람들 🤬,귀욤냥
"태용이 라이브 하잖아 ......
보이스톡 걸지 마라 ... 🤬",재로
저기요 씨뮤님 저 사람 좀 어케 해봐요 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,kmj ◡̈
"ㅆㅂㄴ 굥ㅅㄲ 😡🤬😡🤬
굥ㅆㄲ 내려왓!!!!!!!!!!!!!!!!

한국 경제 이 지경 만든놈은 너 야 너!!!!!!!!!!!!!! https://t.co/nYbgIuef0R",커서뭐가될래_ 1️⃣ 굥5욕할자격증보유자_77.77%_ㅇㅅㄲ_ㅋ
"RT @younghnnn: 저기요,,,,,,,,,,,,,,,,,,
무슨 욕이 어울릴지 생각이
안.냐.
2열 독식😡🤬 https://t.co/GzlqMqey8d",kmj ◡̈
RT @Mohaniiiiii: 너나 쳐묵해 🤬 https://t.co/b86BNu05yQ,송서연
"RT @kkommi6: 굥 지지율도   하락..
야당탄압하지말고  경제나  신경써라🤬 https://t.co/iVGAKcJa5F",Super Moon Rising.
RT @huungzzi: 아 불법사이트 ㅅㅂ..불법번역 좀 쳐하지마 제발제발!!! 완결나면 정식번역 나온다고.. 불법번역 많아질수록 정식 번역이 안나온다는 걸 모르냐고 아진짜🙃🙃🙃🤬🤬🤬,4E
마지막날까지 스트레스 1000000개네 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,이렛소
"RT @eunhabnida: @yeinstyle 최재성 이인간도 나겹파야??
징글징글하네 나겹이색히🤬",려🌿🐋🌍🌎🌏🌳🐳麗
안드오토 무선연결하면 아주 속이시원할줄알앗더니 6월부터 끊김과 먹통으로 유선연결보다 더 열이받고있는 건에 대하여...🤬,파파야
"RT @none_talking: “이미 구속된 두 분도 당시 제한된 상황과 여건 속에서 최선을 다했을 뿐입니다.
이 분들이 평생 국가에 바쳐온 헌신과 명예가 심각하게 훼손 되는 현실이 너무나 안타깝습니다.”

윤서결은 평생 국가에 바쳐온 헌신, 명예…",The THE
"저기요,,,,,,,,,,,,,,,,,,
무슨 욕이 어울릴지 생각이
안.냐.
2열 독식😡🤬 https://t.co/GzlqMqey8d",zopopp🌳
"RT @OSR012: 토건마귀 브로커랑 의형제 맺고
행동대장 막내한테 상납받았네

때마다 수익금 삥뜯고 
지 손엔 피 한방울 안묻히는 두목까지
딱 조폭스타일 정치야 ㅋ

근데 저 얼굴없는 비선이 상납 받은게 한 두곳일까?

진상아? 🤬

https:…",이니와 함께~💕💕💕
"RT @joohyuk2022: 1026 메가박스 1930  c열
조명 진짜🤬
역시 자리는 a열이어야한다😭
귀요미😍 https://t.co/Z06LudZsmm",BernadetteTay
넥슨 니네는 6시에 퇴근 안하니?? 누가 퇴근길에 티켓팅을 하고 앉아있어??🤬🤬🤬🤬🤬🤬 이거 미친 놈들아냐,트랙9
"RT @hany33133: @0ow3u72 착오 좋아하네.🤬
무리해서 전 정부 해코지하려다 들통나게 생기니 꼬리 잘라서 책임지우려는 냄새가 나는구만 뭔 실수인 척.
이거 나라가 떠들썩해야 할 일인 것 같은데 민주당 저 모리배들이 이재명에게만 매달려서…",샤
"RT @righteously_3: 청담동은 간판없고 찾기쉬운곳이 아니다,
안가수준이라고…청담동안가. 박정희의 안가 정치 부활?🤬🤬🤬",isk
RT @khyee_queen: @newsgongjang 똑똑 ㅋ 조만간 난파선 될 조직이야😡 정신차려 모지리야 🤬,coky
"RT @none_talking: ""레고랜드발 금융위기 사태로 인해 지자체 채무 보증에 대한 신뢰도까지 하락하면서 춘천시가 높은 이자 부담을 떠안게 됐다.""

했네, 했어…‼️❗️‼️❗️
결국 춘천이 해냈네…👏🏻👏🏻👍🏻👍🏻
춘천이 김진태를 사랑한 댓가…",구름한점
@junekay4 그치.  눈치도 없는 놈🤬,제뉴
"RT @righteously_3: 더탐사 가발취재 법원항고기각.🤬
한달에 취재차 두세번 따라간게 스토킹이란얘기….참..대단하다~ https://t.co/cYZqIEbRok","KumA 윤리적소비운동,"
"혹시나 하고 기대를 해봤지만 역시 예대깨짐..
낱개로 쪼개서 +5에 팔고 있나보네 🤬 https://t.co/65HE8Xnylq",Zoe❣
@Namooltti 누우가 우리 나물이 험담을🤬,DOHA
RT @jinjin0291h: 최재성 괜찮타더니...개색히 맞네?🤯🤬,임마누엘
"@my1uvtwk 하 시발
아니
시발
우아아앙 🥲😱😨😰😡🤬🤬🤬🤬🤬🤬🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮",유나
RT @unitinrepair: 지 추잡한 범죄에 야당 탄압 정치보복 어쩌고저쩌고 갖다 붙이는 꼬라지 좀 보소 🤬😡 https://t.co/u1au8QZheR,"다정하게 흐르자ㄷ-6🐱🐶 ""Justice sells, Money talks"""
"@yeinstyle 최재성 이인간도 나겹파야??
징글징글하네 나겹이색히🤬",임마누엘
홍광호 치면 나오는  양도+$ 너무 마나서 씅질이나🤬,뚜비몽🌈 -🐬🥟🥘
왜 티켓팅 시간을 바꾼거냐 대체 🤬,달스
이렇게 보임. 🤬🤬🤬 https://t.co/uqMYjmX1Ns,올드스폿 OldSport
"“이미 구속된 두 분도 당시 제한된 상황과 여건 속에서 최선을 다했을 뿐입니다.
이 분들이 평생 국가에 바쳐온 헌신과 명예가 심각하게 훼손 되는 현실이 너무나 안타깝습니다.”

윤서결은 평생 국가에 바쳐온… https://t.co/uDSmCwN4ke",GO_MAZAYO
"회원가입하고 개인정보 입력하고 결제하려고 보니 이 ㅈㄹ
언제 막은거냐 카카오🤬 https://t.co/SDnjAS1kwH",내 우주109⁷
RT @yellowknife000: @dy1843 저 정도로 뻔뻔해야 국짐당이라 할 수 있지. 세상 제일 심한 욕!!🤬,네오
@p_moon_1215 ㅋ... ㅋㅋㅋㅋ 으... 으...! 으! 으!!!🤬,고슴도치
"머리 검은 짐승은 거두는 게 아니라 했거늘...
딱 유동규 개색이다!!🤬🤬🤬🤬🤬",💙CALLI(민주당개혁파)
"RT @OSR012: 이재명 ""변호사비 2억8천여만원
..대납의혹, 지나친 것 아닌가""🙄

[단독] 이재명 1년간 ‘헤·메·코’ 2.7억…견적서는 달랑 한 줄😱
https://t.co/K4wNzXS65g

ㅇㅇ 지나치네 너무 지나쳐!🤬
@Jaemyu…",Regina